时间,风速(m/s),温度(K),气压(Pa),发电量(kW),温度(°C),气压(kPa),转速(rpm),空气密度(kg/m³),功率密度(W/m²)
2025-11-28 16:06:08.521547+08:00,5.84497,283.79,99712.4,896.0771680581903,10.640000000000043,99.71239999999999,3.695395428571428,1.223823783730271,70.74665782869022
2025-11-28 17:06:08.521547+08:00,5.91444,283.06,99730.2,930.3200180411673,9.910000000000025,99.7302,3.772143238095238,1.2271990068826122,73.4501830128823
2025-11-28 18:06:08.521547+08:00,5.46506,282.12,99786.5,717.5619488260255,8.970000000000027,99.7865,3.2756853333333336,1.2319830207302889,56.65260925517334
2025-11-28 19:06:08.521547+08:00,6.08128,281.65,99849.6,1012.5580645527541,8.5,99.84960000000001,3.9564617142857137,1.2348192219272125,79.9430020963804
2025-11-28 20:06:08.521547+08:00,6.30713,281.82,99899.1,1123.8830633818231,8.670000000000016,99.8991,4.20597219047619,1.2346861388435981,88.73228038700641
2025-11-28 21:06:08.521547+08:00,7.31305,282.34,99926.9,1744.2481203880213,9.189999999999998,99.92689999999999,5.317274285714285,1.2327551109357344,137.71104692784
2025-11-28 22:06:08.521547+08:00,7.54686,282.62,99923.2,1905.993735389641,9.470000000000027,99.9232,5.575578666666666,1.2314881838721574,150.48110969442925
2025-11-28 23:06:08.521547+08:00,7.58588,282.77,99917.6,1933.8929776645623,9.620000000000005,99.91760000000001,5.618686476190477,1.230765940966628,152.68379738390672
2025-11-29 00:06:08.521547+08:00,8.42311,282.83,99916.9,2533.761358621947,9.680000000000007,99.9169,6.543626285714285,1.230496223711351,200.044320118581
2025-11-29 01:06:08.521547+08:00,8.58018,282.9,99924.9,2647.767764403036,9.75,99.9249,6.717151238095239,1.2302902502924442,209.04529957390145
2025-11-29 02:06:08.521547+08:00,9.276,283.01,99931.6,3146.448772376481,9.860000000000014,99.9316,7.485866666666666,1.2298945218337614,248.41692502577618
2025-11-29 03:06:08.521547+08:00,9.51376,283.43,99935.6,3285.538084592979,10.28000000000003,99.93560000000001,7.748534857142856,1.2281211623748307,259.3982381646123
2025-11-29 04:06:08.521547+08:00,8.98915,283.59,99936.7,2944.6112085508184,10.439999999999998,99.9367,7.168965714285714,1.2274417732272747,232.481541808844
2025-11-29 05:06:08.521547+08:00,9.34804,285.54,99933.5,3188.5920851796286,12.390000000000043,99.9335,7.565453714285713,1.2190203352502007,251.7442037880648
2025-11-29 06:06:08.521547+08:00,9.81362,284.96,99970.2,3460.9558216439505,11.810000000000002,99.97019999999999,8.079808761904761,1.2219500861584929,273.2477358000908
2025-11-29 07:06:08.521547+08:00,9.1213,284.97,99999.2,3040.529885089755,11.82000000000005,99.9992,7.31496,1.2222616649216906,240.0544674790585
2025-11-29 08:06:08.521547+08:00,8.01776,285.12,100015.0,2242.6865387535554,11.970000000000027,100.015,6.095811047619048,1.2218116573451532,177.06351956052075
2025-11-29 09:06:08.521547+08:00,7.97958,284.63,100046.0,2215.387895235963,11.480000000000018,100.046,6.053631238095238,1.224294403461065,174.90825005810538
2025-11-29 10:06:08.521547+08:00,7.30508,283.74,100091.0,1739.1539725947623,10.590000000000032,100.091,5.308469333333333,1.2286870228696523,137.30885619728107
2025-11-29 11:06:08.521547+08:00,6.62412,282.83,100149.0,1303.9079398096137,9.680000000000007,100.149,4.556170666666667,1.233354580741277,102.94551869647984
2025-11-29 12:06:08.521547+08:00,6.69352,282.26,100189.0,1348.2660146969638,9.110000000000014,100.189,4.632841142857143,1.236338837767699,106.4476563000919
2025-11-29 13:06:08.521547+08:00,5.42566,281.99,100218.0,702.8362292943556,8.840000000000032,100.218,3.232157714285714,1.2378808129696823,55.48999125962069
2025-11-29 14:06:08.521547+08:00,4.95014,281.59,100196.0,525.1109970177203,8.439999999999998,100.196,2.7068213333333335,1.2393671014483127,41.458313359996865
2025-11-29 15:06:08.521547+08:00,3.90338,280.76,100183.0,234.16037723008094,7.610000000000014,100.183,1.5504007619047617,1.242869716863949,18.48731858756363
2025-11-29 16:06:08.521547+08:00,3.87662,279.86,100194.0,227.92754012616675,6.710000000000036,100.194,1.5208373333333332,1.2470035585041361,17.99522660083426
2025-11-29 17:06:08.521547+08:00,4.59419,279.14,100198.0,395.0612068173393,5.990000000000009,100.198,2.3135813333333335,1.2502699301808882,31.19068425843513
2025-11-29 18:06:08.521547+08:00,3.70738,278.53,100206.0,188.50880501904956,5.3799999999999955,100.206,1.3338674285714287,1.2531081505264934,14.883057399261768
2025-11-29 19:06:08.521547+08:00,3.45801,278.19,100218.0,152.7635581188072,5.0400000000000205,100.218,1.058372952380952,1.254789929362381,12.06091568915263
2025-11-29 20:06:08.521547+08:00,3.676117,277.98,100225.0,182.77138411428407,4.830000000000041,100.225,1.2993292571428572,1.2558255708966128,14.43007927635276
2025-11-29 21:06:08.521547+08:00,3.26873,278.5,100223.0,126.72183866723604,5.350000000000023,100.223,0.8492636190476193,1.25345574859597,10.004882257005844
2025-11-29 22:06:08.521547+08:00,4.62125,279.92,100219.0,402.1886138509494,6.770000000000039,100.219,2.3434761904761903,1.247047347657374,31.75340390422781
2025-11-29 23:06:08.521547+08:00,4.27669,281.54,100203.0,321.11031815916346,8.390000000000043,100.203,1.962819428571429,1.239673807790545,25.352148915140017
2025-11-30 00:06:08.521547+08:00,5.13013,283.18,100129.0,592.3821203300345,10.03000000000003,100.129,2.905667428571429,1.2315842006230233,46.76947105084751
2025-11-30 01:06:08.521547+08:00,4.55785,284.78,100067.0,386.5970326635184,11.629999999999995,100.067,2.2734342857142855,1.223906388449617,30.52242481158364
2025-11-30 02:06:08.521547+08:00,5.53481,286.13,100015.0,743.6309573878005,12.980000000000018,100.015,3.3527424761904765,1.2174988283026948,58.7107972041529
2025-11-30 03:06:08.521547+08:00,5.70535,287.33,99929.4,827.2562854524141,14.180000000000007,99.9294,3.5411485714285713,1.2113764166252174,65.3131442801527
2025-11-30 04:06:08.521547+08:00,6.75207,288.15,99834.0,1385.6891455997627,15.0,99.834,4.697524952380952,1.206775975664306,109.40226950890279
2025-11-30 05:06:08.521547+08:00,6.6299,288.78,99778.9,1307.6023154990796,15.629999999999995,99.7789,4.562556190476191,1.2034786972634899,103.23719528652137
2025-11-30 06:06:08.521547+08:00,6.89327,289.22,99680.6,1475.9392922005375,16.07000000000005,99.68060000000001,4.8535173333333335,1.2004639678597455,116.52765610299521
2025-11-30 07:06:08.521547+08:00,6.69876,289.24,99655.1,1351.6152411005617,16.090000000000032,99.6551,4.638630095238095,1.2000738817509522,106.71208282808792
2025-11-30 08:06:08.521547+08:00,6.53161,288.93,99655.6,1244.7787538178466,15.78000000000003,99.6556,4.453969142857143,1.20136749770225,98.2771793634807
2025-11-30 09:06:08.521547+08:00,5.5887,288.21,99612.9,769.7576752535617,15.060000000000002,99.6129,3.4122780952380958,1.2038526853514488,60.77354139061754
2025-11-30 10:06:08.521547+08:00,5.38355,286.91,99579.5,687.097649358351,13.760000000000048,99.5795,3.1856361904761896,1.2089019088690975,54.24740639178518
2025-11-30 11:06:08.521547+08:00,5.83178,285.84,99545.5,889.5756106769401,12.689999999999998,99.5455,3.680823619047619,1.2130129479357887,70.23334996659878
2025-11-30 12:06:08.521547+08:00,6.01964,285.09,99524.0,982.1747440841964,11.939999999999998,99.524,3.8883641904761905,1.2159414017992254,77.54419264836542
2025-11-30 13:06:08.521547+08:00,6.4603,284.62,99479.4,1199.382953001697,11.470000000000027,99.4794,4.375188571428572,1.2174035122964002,94.6931117165401
2025-11-30 14:06:08.521547+08:00,6.78718,284.29,99412.1,1408.130240834559,11.140000000000043,99.41210000000001,4.736313142857143,1.2179921016332595,111.17402817263215
2025-11-30 15:06:08.521547+08:00,6.06979,284.12,99378.2,1006.8944637710586,10.970000000000027,99.37819999999999,3.9437680000000004,1.2183052838531094,79.49585218467224
2025-11-30 16:06:08.521547+08:00,5.55742,284.06,99356.7,754.3392738217557,10.910000000000025,99.3567,3.3777211428571428,1.218298987711472,59.55623510356511
2025-11-30 17:06:08.521547+08:00,4.80723,283.99,99353.6,471.6984950311494,10.840000000000032,99.3536,2.548939809523809,1.2185612620790645,37.241314940087584
2025-11-30 18:06:08.521547+08:00,4.49587,283.99,99366.9,372.16088753270355,10.840000000000032,99.3669,2.204961142857143,1.2187243851544802,29.382669156221663
2025-11-30 19:06:08.521547+08:00,4.02516,283.99,99369.4,262.52491020895553,10.840000000000032,99.3694,1.6849386666666661,1.2187550473867013,20.7267416871116
2025-11-30 20:06:08.521547+08:00,4.03814,283.88,99381.3,265.54816228701253,10.730000000000018,99.3813,1.6992784761904762,1.2193733087214063,20.965432045398117
2025-11-30 21:06:08.521547+08:00,4.24263,284.39,99355.2,313.1771929065728,11.240000000000009,99.3552,1.9251912380952383,1.2168669284747131,24.72581658823408
2025-11-30 22:06:08.521547+08:00,4.82193,284.51,99303.3,477.1926086635235,11.360000000000014,99.30330000000001,2.5651798095238094,1.215718296506924,37.675083583098335
2025-11-30 23:06:08.521547+08:00,4.51371,284.82,99269.7,376.31611226864635,11.670000000000016,99.2697,2.224670095238095,1.2139842010613386,29.71073048070791
2025-12-01 00:06:08.521547+08:00,2.40346,285.34,99268.9,35.017090870595275,12.189999999999998,99.26889999999999,0.0,1.2117620861454592,2.76465268203026
2025-12-01 01:06:08.521547+08:00,5.32339,285.54,99293.5,664.612895880553,12.390000000000043,99.2935,3.119173714285714,1.2112134135016368,52.47220084324593
2025-12-01 02:06:08.521547+08:00,7.43423,284.62,99357.1,1825.463452011266,11.470000000000027,99.3571,5.451149333333333,1.2159068361046075,144.12312111252692
2025-12-01 03:06:08.521547+08:00,7.87892,283.77,99441.6,2143.416144149508,10.620000000000005,99.44160000000001,5.942425904761905,1.2205861304147556,169.22597064183702
2025-12-01 04:06:08.521547+08:00,8.09584,283.4,99532.9,2298.513623244221,10.25,99.5329,6.182070857142858,1.223301813304977,181.47115294838315
2025-12-01 05:06:08.521547+08:00,8.27191,283.39,99635.8,2424.403412771262,10.240000000000009,99.6358,6.376586285714286,1.2246097095658623,191.41034365792376
2025-12-01 06:06:08.521547+08:00,7.06198,283.64,99738.7,1583.7728774202005,10.490000000000009,99.7387,5.0399017142857145,1.224793954650645,125.04128196906683
2025-12-01 07:06:08.521547+08:00,7.27131,284.08,99803.7,1717.5693589211917,10.930000000000007,99.80369999999999,5.271161523809523,1.2236938863969617,135.6047180578866
2025-12-01 08:06:08.521547+08:00,6.10462,284.55,99872.3,1024.062715748993,11.400000000000034,99.87230000000001,3.9822468571428566,1.2225123893275056,80.85131183870148
2025-12-01 09:06:08.521547+08:00,6.24856,284.49,99965.7,1095.0129939489316,11.340000000000032,99.9657,4.141266285714286,1.2239137494131,86.45294441409534
2025-12-01 10:06:08.521547+08:00,5.34648,284.22,100059.0,673.2427655248741,11.07000000000005,100.059,3.144682666666666,1.2262198172093126,53.1535422015533
2025-12-01 11:06:08.521547+08:00,4.98057,283.98,100127.0,536.4841859859612,10.830000000000041,100.127,2.740439238095238,1.2280901743734238,42.35624395910005
2025-12-01 12:06:08.521547+08:00,4.699,283.76,100184.0,431.24761622626147,10.610000000000014,100.184,2.4293714285714283,1.2297419820047004,34.04765642083227
2025-12-01 13:06:08.521547+08:00,4.33597,283.41,100246.0,334.9175895911529,10.260000000000048,100.246,2.028309714285714,1.2320226436731219,26.442254033724367
2025-12-01 14:06:08.521547+08:00,4.0976,283.15,100280.0,279.39735863225707,10.0,100.28,1.764967619047619,1.2335721811021243,22.05884719976765
2025-12-01 15:06:08.521547+08:00,3.83055,283.03,100302.0,217.1970914947269,9.879999999999995,100.302,1.4699409523809526,1.23436593799794,17.14804133070637
2025-12-01 16:06:08.521547+08:00,3.348575,282.95,100327.0,137.70715718800267,9.800000000000011,100.327,0.9374733333333332,1.2350226863574536,10.87218989325775
2025-12-01 17:06:08.521547+08:00,3.041991,282.91,100350.0,95.52639579567115,9.760000000000048,100.35,0.5987710095238095,1.2354804728156066,7.541954507790238
2025-12-01 18:06:08.521547+08:00,3.64218,282.79,100376.0,178.10222819169343,9.640000000000043,100.376,1.2618369523809525,1.2363249808850356,14.061442301570617
2025-12-01 19:06:08.521547+08:00,3.70201,282.69,100400.0,187.25804510694132,9.54000000000002,100.4,1.327934857142857,1.2370580349882645,14.784307998337384
2025-12-01 20:06:08.521547+08:00,4.21735,282.63,100422.0,307.2890717560888,9.480000000000018,100.422,1.897262857142857,1.237591778166942,24.260940451293923
2025-12-01 21:06:08.521547+08:00,5.1066,282.47,100445.0,583.5878010259687,9.32000000000005,100.445,2.879672380952381,1.2385764000521988,46.07514614132076
2025-12-01 22:06:08.521547+08:00,5.76625,283.72,100459.0,857.2748483423424,10.57000000000005,100.459,3.6084285714285715,1.2332914113202593,67.68315556153026
2025-12-01 23:06:08.521547+08:00,6.52554,285.32,100451.0,1240.8990201785643,12.170000000000016,100.451,4.447263238095238,1.2262777736027373,97.97086848085934
2025-12-02 00:06:08.521547+08:00,6.26549,286.71,100421.0,1103.3580558492017,13.560000000000002,100.421,4.159969904761904,1.2199681948881849,87.11179976702998
2025-12-02 01:06:08.521547+08:00,6.29149,287.82,100384.0,1116.17386266592,14.670000000000016,100.384,4.188693714285714,1.2148155312345574,88.12362724348019
2025-12-02 02:06:08.521547+08:00,5.91589,289.09,100329.0,931.0347457290235,15.939999999999998,100.329,3.773745142857143,1.208816061844769,73.50661185291517
2025-12-02 03:06:08.521547+08:00,5.93347,290.06,100272.0,939.7002027997114,16.910000000000025,100.272,3.793166857142857,1.2040891478439475,74.19076289276104
2025-12-02 04:06:08.521547+08:00,6.45727,290.59,100224.0,1197.8894185919023,17.439999999999998,100.224,4.371841142857143,1.2013176953470839,94.57519489909224
2025-12-02 05:06:08.521547+08:00,6.554,290.57,100194.0,1259.0896658744427,17.420000000000016,100.194,4.478704761904762,1.201040767742601,99.40704767680742
2025-12-02 06:06:08.521547+08:00,6.43054,290.92,100189.0,1184.7137833530223,17.77000000000004,100.189,4.342310857142857,1.199535956098964,93.53495842041862
2025-12-02 07:06:08.521547+08:00,6.64154,289.73,100208.0,1315.0422001055454,16.58000000000004,100.208,4.575415619047619,1.2046911931108513,103.82458551283321
2025-12-02 08:06:08.521547+08:00,7.13245,290.09,100228.0,1628.8148592258424,16.939999999999998,100.228,5.117754285714286,1.2034363181034666,128.59741506599104
2025-12-02 09:06:08.521547+08:00,5.83706,289.64,100265.0,892.1782052920274,16.49000000000001,100.265,3.686656761904762,1.2057509890729725,70.43882877720097
2025-12-02 10:06:08.521547+08:00,4.70145,288.33,100333.0,432.16330183165735,15.180000000000007,100.333,2.4320780952380954,1.2120506632900836,34.11995119466741
2025-12-02 11:06:08.521547+08:00,4.89215,287.11,100397.0,503.4372793618443,13.960000000000036,100.397,2.6427561904761903,1.217977383546509,39.74714032542589
2025-12-02 12:06:08.521547+08:00,5.08367,286.06,100450.0,575.0177312579183,12.910000000000025,100.45,2.85434019047619,1.2230933764154428,45.39852607436588
2025-12-02 13:06:08.521547+08:00,4.01569,285.28,100478.0,260.31919393937153,12.129999999999995,100.478,1.6744765714285716,1.226779368520332,20.552597026635997
2025-12-02 14:06:08.521547+08:00,4.31538,284.62,100496.0,330.1218453471472,11.470000000000027,100.496,2.005562666666667,1.2298444036829639,26.06362271807573
2025-12-02 15:06:08.521547+08:00,5.28114,283.86,100523.0,648.8219910528111,10.710000000000036,100.523,3.0724975238095236,1.2334684635503155,51.22548484547695
2025-12-02 16:06:08.521547+08:00,5.4353,283.18,100564.0,706.4391718396678,10.03000000000003,100.564,3.2428076190476185,1.2369346897647406,55.77444906360871
2025-12-02 17:06:08.521547+08:00,4.61245,282.49,100616.0,399.3142563508772,9.340000000000032,100.616,2.333754285714286,1.240597143290067,31.52646899975345
2025-12-02 18:06:08.521547+08:00,5.09328,281.88,100686.0,578.6094613264298,8.730000000000018,100.686,2.8649569523809526,1.2441468159969062,45.68209863622532
2025-12-02 19:06:08.521547+08:00,4.51176,281.29,100742.0,375.8619257083836,8.140000000000043,100.742,2.2225158095238093,1.2474498150711555,29.674871759701844
2025-12-02 20:06:08.521547+08:00,3.96445,281.0,100789.0,248.38456863277324,7.850000000000023,100.789,1.617868571428571,1.2493198025165138,19.61034017312279
2025-12-02 21:06:08.521547+08:00,4.36579,281.76,100818.0,341.8631502204027,8.610000000000014,100.818,2.061253714285714,1.2463084703582852,26.990616628801728
2025-12-02 22:06:08.521547+08:00,4.09709,283.45,100833.0,279.27857137803454,10.300000000000011,100.833,1.76440419047619,1.2390619905172735,22.04946876504299
2025-12-02 23:06:08.521547+08:00,3.77816,285.58,100833.0,204.99461257566594,12.430000000000007,100.833,1.4120624761904763,1.2298204398491535,16.184637026343434
2025-12-03 00:06:08.521547+08:00,3.224248,287.83,100805.0,120.6018694964584,14.680000000000007,100.805,0.8001215999999998,1.2198679575375828,9.521701365581746
2025-12-03 01:06:08.521547+08:00,3.162566,289.85,100778.0,112.11547188861915,16.700000000000045,100.778,0.7319776761904762,1.211042091878196,8.851687343172205
2025-12-03 02:06:08.521547+08:00,3.932783,291.44,100737.0,241.0088118102901,18.29000000000002,100.737,1.5828840761904763,1.2039450416782476,19.02801293307201
2025-12-03 03:06:08.521547+08:00,3.765394,292.57,100670.0,202.02120456114545,19.420000000000016,100.67,1.3979590857142858,1.198497367407136,15.949881932823738
2025-12-03 04:06:08.521547+08:00,3.84702,293.34,100602.0,221.03322105756203,20.189999999999998,100.602,1.4881363809523809,1.1945439541520821,17.4509096050499
2025-12-03 05:06:08.521547+08:00,4.77086,293.84,100542.0,458.1052356563572,20.689999999999998,100.542,2.508759619047619,1.1918000854039235,36.16810639952291
2025-12-03 06:06:08.521547+08:00,4.73997,293.96,100496.0,446.56012204383745,20.810000000000002,100.496,2.4746335238095236,1.1907685201260212,35.25660208778126
2025-12-03 07:06:08.521547+08:00,4.91083,293.95,100437.0,510.41891491645305,20.80000000000001,100.437,2.6633931428571422,1.190109919602972,40.298351090830025
2025-12-03 08:06:08.521547+08:00,4.66822,293.43,100401.0,419.743615028678,20.28000000000003,100.401,2.395366857142857,1.1917916334995189,33.13939799689547
2025-12-03 09:06:08.521547+08:00,3.87356,292.81,100387.0,227.21481660083128,19.660000000000025,100.387,1.5174567619047619,1.1941486135061115,17.938955992486285
2025-12-03 10:06:08.521547+08:00,4.21258,291.58,100373.0,306.1780615548307,18.430000000000007,100.373,1.8919931428571428,1.199018766800484,24.17322450298679
2025-12-03 11:06:08.521547+08:00,5.62156,290.2,100359.0,785.9548834073056,17.05000000000001,100.359,3.448580571428571,1.204552475970523,62.05233565508492
2025-12-03 12:06:08.521547+08:00,5.2707,289.04,100321.0,644.9200491261454,15.890000000000043,100.321,3.060963809523809,1.2089287657876182,50.917420584726464
2025-12-03 13:06:08.521547+08:00,5.44909,288.17,100267.0,711.5931736757524,15.020000000000039,100.267,3.2580422857142857,1.2119258864175955,56.181365362052134
2025-12-03 14:06:08.521547+08:00,5.45589,287.21,100189.0,714.1346684172589,14.060000000000002,100.189,3.265554666666667,1.21503081490307,56.38202024453331
2025-12-03 15:06:08.521547+08:00,6.29342,286.47,100117.0,1117.1251898642383,13.32000000000005,100.117,4.190825904761905,1.2172940156011138,88.19873597538593
2025-12-03 16:06:08.521547+08:00,5.43382,285.95,100056.0,705.8860229841636,12.800000000000011,100.056,3.2411725714285713,1.21876463411938,55.730777118598105
2025-12-03 17:06:08.521547+08:00,5.18699,285.98,99995.2,613.6335013597482,12.830000000000041,99.9952,2.9684841904761905,1.2178962662599087,48.44729996524145
2025-12-03 18:06:08.521547+08:00,5.81717,286.14,99943.5,882.3741130772382,12.990000000000009,99.9435,3.6646830476190475,1.21658592855475,69.66478075771658
2025-12-03 19:06:08.521547+08:00,5.55325,286.08,99911.0,752.2838155746133,12.930000000000007,99.911,3.373114285714286,1.216445388078112,59.3939535429191
2025-12-03 20:06:08.521547+08:00,5.06819,285.87,99857.5,569.2320932287246,12.720000000000027,99.8575,2.8372384761904765,1.2166871319150567,44.94174113601173
2025-12-03 21:06:08.521547+08:00,5.77024,286.03,99782.4,859.2415817730622,12.879999999999995,99.7824,3.6128365714285713,1.215092015068386,67.838432162724
2025-12-03 22:06:08.521547+08:00,5.34332,286.03,99671.0,672.061717968527,12.879999999999995,99.671,3.141191619047619,1.2137354506794895,53.060296697341464
2025-12-03 23:06:08.521547+08:00,5.77574,286.03,99566.8,861.9526178304444,12.879999999999995,99.5668,3.6189127619047614,1.2124665637017247,68.05247259043458
2025-12-04 00:06:08.521547+08:00,6.85685,286.62,99468.7,1452.6608903648416,13.470000000000027,99.4687,4.8132819047619035,1.2087785863709288,114.68979080726682
2025-12-04 01:06:08.521547+08:00,7.884,288.1,99392.2,2147.0483366343,14.950000000000045,99.3922,5.948038095238095,1.2016440845032448,169.512737773117
2025-12-04 02:06:08.521547+08:00,8.64058,288.16,99312.1,2691.608007028475,15.010000000000048,99.3121,6.783878857142857,1.2004256797618722,212.5065535313813
2025-12-04 03:06:08.521547+08:00,7.89842,288.03,99227.2,2157.358615301762,14.879999999999995,99.2272,5.963968761904762,1.1999407981866705,170.3267499843488
2025-12-04 04:06:08.521547+08:00,8.67928,288.21,99159.0,2719.697698909346,15.060000000000002,99.159,6.826633142857143,1.1983671635577753,214.72427750744876
2025-12-04 05:06:08.521547+08:00,7.68062,287.5,99122.1,2001.6319375088965,14.350000000000023,99.1221,5.723351619047619,1.20087956021989,158.031891481833
2025-12-04 06:06:08.521547+08:00,8.51402,286.92,99092.6,2599.7467304278866,13.770000000000039,99.0926,6.64406019047619,1.2029489819766574,205.253965768821
2025-12-04 07:06:08.521547+08:00,9.37248,286.58,99084.8,3202.8894555975758,13.430000000000007,99.0848,7.592454095238095,1.2042813653244393,252.8730029683859
2025-12-04 08:06:08.521547+08:00,9.04923,286.63,99093.4,2988.2191849901615,13.480000000000018,99.09339999999999,7.235339809523809,1.2041757959539745,235.9244579970126
2025-12-04 09:06:08.521547+08:00,9.67011,286.22,99110.9,3377.002645347729,13.07000000000005,99.1109,7.92126438095238,1.206113698433327,266.6195046066421
2025-12-04 10:06:08.521547+08:00,9.92733,285.2,99128.2,3527.4760340099397,12.050000000000011,99.12819999999999,8.205431238095239,1.2106385712324679,278.49960792751773
2025-12-04 11:06:08.521547+08:00,10.72526,284.58,99183.6,3870.462592940427,11.430000000000007,99.18360000000001,9.086953904761904,1.2139541943899728,305.57891938579087
2025-12-04 12:06:08.521547+08:00,10.04722,284.31,99264.2,3597.6115388956905,11.160000000000025,99.2642,8.337881142857142,1.2160944850978432,284.0369129082339
2025-12-04 13:06:08.521547+08:00,9.18184,283.78,99302.0,3084.471744171611,10.629999999999995,99.302,7.381842285714284,1.2188296726343442,243.52374421061197
2025-12-04 14:06:08.521547+08:00,8.9153,283.33,99307.3,2891.008527791071,10.180000000000007,99.3073,7.087379047619048,1.2208306390672024,228.24952848500484
2025-12-04 15:06:08.521547+08:00,8.76785,282.89,99309.7,2783.984624229464,9.740000000000009,99.30969999999999,6.924481904761903,1.2227590385787614,219.7998282196008
2025-12-04 16:06:08.521547+08:00,6.84027,282.7,99297.8,1442.063528958037,9.550000000000011,99.29780000000001,4.794964952380953,1.223434225154094,113.85311297631746
2025-12-04 17:06:08.521547+08:00,7.25482,282.56,99310.3,1707.029522395365,9.410000000000025,99.3103,5.252943999999999,1.2241944871450474,134.7725819039448
2025-12-04 18:06:08.521547+08:00,7.7015,282.33,99356.5,2016.5611066196172,9.180000000000007,99.3565,5.746419047619048,1.2257617462824868,159.2105721316609
2025-12-04 19:06:08.521547+08:00,6.66854,282.22,99377.5,1332.2996643988947,9.07000000000005,99.3775,4.60524419047619,1.226498685683132,105.18708861510301
2025-12-04 20:06:08.521547+08:00,6.91492,282.14,99395.4,1489.7772219024264,8.990000000000009,99.3954,4.877435428571429,1.2270674370438976,117.62018173870412
2025-12-04 21:06:08.521547+08:00,6.71425,282.28,99399.4,1361.51591228219,9.129999999999995,99.3994,4.655742857142856,1.2265082156556992,107.49375590416784
2025-12-04 22:06:08.521547+08:00,6.11747,282.49,99387.8,1030.3966818103324,9.340000000000032,99.3878,3.9964430476190476,1.2254534145452467,81.35138811071629
